date,hour,MCP,load,res,net_load,ramp,abs_ramp
2025-01-01,0,138.7,4614,634,3980,,
2025-01-01,1,134.06,4359,677,3682,-298.0,298.0
2025-01-01,2,124.42,4186,618,3568,-114.0,114.0
2025-01-01,3,118.6,3959,658,3301,-267.0,267.0
2025-01-01,4,112.38,3793,634,3159,-142.0,142.0
2025-01-01,5,108.0,3770,634,3136,-23.0,23.0
2025-01-01,6,107.99,3889,568,3321,185.0,185.0
2025-01-01,7,96.63,4111,566,3545,224.0,224.0
2025-01-01,8,29.22,3882,670,3212,-333.0,333.0
2025-01-01,9,41.43,2919,1319,1600,-1612.0,1612.0
2025-01-01,10,28.98,2130,1689,441,-1159.0,1159.0
2025-01-01,11,32.8,1818,1869,-51,-492.0,492.0
2025-01-01,12,36.56,1673,1909,-236,-185.0,185.0
2025-01-01,13,53.17,1591,1836,-245,-9.0,9.0
2025-01-01,14,66.8,1676,1631,45,290.0,290.0
2025-01-01,15,90.51,2627,1143,1484,1439.0,1439.0
2025-01-01,16,120.79,4116,483,3633,2149.0,2149.0
2025-01-01,17,145.37,5019,141,4878,1245.0,1245.0
2025-01-01,18,142.1,5465,82,5383,505.0,505.0
2025-01-01,19,149.55,5575,66,5509,126.0,126.0
2025-01-01,20,139.62,5567,71,5496,-13.0,13.0
2025-01-01,21,131.4,5438,81,5357,-139.0,139.0
2025-01-01,22,118.02,5182,116,5066,-291.0,291.0
2025-01-01,23,116.67,4865,136,4729,-337.0,337.0
2025-01-02,0,118.84,4503,202,4301,,
2025-01-02,1,126.09,4127,223,3904,-397.0,397.0
2025-01-02,2,117.47,3936,188,3748,-156.0,156.0
2025-01-02,3,110.0,3785,205,3580,-168.0,168.0
2025-01-02,4,104.08,3754,295,3459,-121.0,121.0
2025-01-02,5,109.01,3864,364,3500,41.0,41.0
2025-01-02,6,114.75,4142,348,3794,294.0,294.0
2025-01-02,7,139.0,4598,349,4249,455.0,455.0
2025-01-02,8,129.07,4715,569,4146,-103.0,103.0
2025-01-02,9,122.69,4064,1250,2814,-1332.0,1332.0
2025-01-02,10,113.0,3239,1823,1416,-1398.0,1398.0
2025-01-02,11,102.32,2824,2107,717,-699.0,699.0
2025-01-02,12,102.96,2776,2185,591,-126.0,126.0
2025-01-02,13,109.0,2808,2201,607,16.0,16.0
2025-01-02,14,124.51,3127,2033,1094,487.0,487.0
2025-01-02,15,130.11,3861,1743,2118,1024.0,1024.0
2025-01-02,16,159.64,5063,1191,3872,1754.0,1754.0
2025-01-02,17,170.0,5879,907,4972,1100.0,1100.0
2025-01-02,18,159.64,6297,923,5374,402.0,402.0
2025-01-02,19,159.64,6308,1016,5292,-82.0,82.0
2025-01-02,20,131.19,6288,1158,5130,-162.0,162.0
2025-01-02,21,123.8,5987,1215,4772,-358.0,358.0
2025-01-02,22,116.81,5539,1307,4232,-540.0,540.0
2025-01-02,23,95.74,5082,1475,3607,-625.0,625.0
2025-01-03,0,117.1,4631,1580,3051,,
2025-01-03,1,105.0,4258,1499,2759,-292.0,292.0
2025-01-03,2,97.0,4131,1363,2768,9.0,9.0
2025-01-03,3,97.0,3969,1375,2594,-174.0,174.0
2025-01-03,4,99.78,3887,1390,2497,-97.0,97.0
2025-01-03,5,105.0,4000,1502,2498,1.0,1.0
2025-01-03,6,121.98,4372,1441,2931,433.0,433.0
2025-01-03,7,141.01,4942,1448,3494,563.0,563.0
2025-01-03,8,141.68,5122,1708,3414,-80.0,80.0
2025-01-03,9,137.29,4390,2341,2049,-1365.0,1365.0
2025-01-03,10,118.26,3508,2940,568,-1481.0,1481.0
2025-01-03,11,102.42,2936,3112,-176,-744.0,744.0
2025-01-03,12,101.82,2705,3285,-580,-404.0,404.0
2025-01-03,13,109.12,2866,3326,-460,120.0,120.0
2025-01-03,14,117.0,3233,3089,144,604.0,604.0
2025-01-03,15,132.2,4188,2889,1299,1155.0,1155.0
2025-01-03,16,155.56,5351,2561,2790,1491.0,1491.0
2025-01-03,17,152.0,6090,2391,3699,909.0,909.0
2025-01-03,18,150.0,6498,2313,4185,486.0,486.0
2025-01-03,19,149.66,6512,2194,4318,133.0,133.0
2025-01-03,20,138.09,6387,2190,4197,-121.0,121.0
2025-01-03,21,122.13,5975,2218,3757,-440.0,440.0
2025-01-03,22,129.58,5485,2317,3168,-589.0,589.0
2025-01-03,23,123.92,5077,2328,2749,-419.0,419.0
2025-01-04,0,110.98,4624,2273,2351,,
2025-01-04,1,120.0,4239,2217,2022,-329.0,329.0
2025-01-04,2,111.97,4095,2215,1880,-142.0,142.0
2025-01-04,3,105.4,3912,2263,1649,-231.0,231.0
2025-01-04,4,111.65,3874,2139,1735,86.0,86.0
2025-01-04,5,104.52,3930,1884,2046,311.0,311.0
2025-01-04,6,111.75,4126,1623,2503,457.0,457.0
2025-01-04,7,128.99,4445,1438,3007,504.0,504.0
2025-01-04,8,128.39,4694,1271,3423,416.0,416.0
2025-01-04,9,130.75,4620,1263,3357,-66.0,66.0
2025-01-04,10,130.34,4048,1627,2421,-936.0,936.0
2025-01-04,11,128.29,3570,1987,1583,-838.0,838.0
2025-01-04,12,130.03,3495,1903,1592,9.0,9.0
2025-01-04,13,129.85,3654,1560,2094,502.0,502.0
2025-01-04,14,136.4,4024,1212,2812,718.0,718.0
2025-01-04,15,143.93,4812,915,3897,1085.0,1085.0
2025-01-04,16,191.68,5531,729,4802,905.0,905.0
2025-01-04,17,189.26,6047,646,5401,599.0,599.0
2025-01-04,18,191.0,6310,647,5663,262.0,262.0
2025-01-04,19,192.33,6275,707,5568,-95.0,95.0
2025-01-04,20,160.19,6081,716,5365,-203.0,203.0
2025-01-04,21,153.29,5716,784,4932,-433.0,433.0
2025-01-04,22,147.08,5289,963,4326,-606.0,606.0
2025-01-04,23,121.99,4979,910,4069,-257.0,257.0
2025-01-05,0,112.62,4633,804,3829,,
2025-01-05,1,112.0,4245,657,3588,-241.0,241.0
2025-01-05,2,101.04,4077,614,3463,-125.0,125.0
2025-01-05,3,99.49,3860,615,3245,-218.0,218.0
2025-01-05,4,99.52,3813,594,3219,-26.0,26.0
2025-01-05,5,99.54,3834,526,3308,89.0,89.0
2025-01-05,6,92.87,3944,406,3538,230.0,230.0
2025-01-05,7,115.86,4173,342,3831,293.0,293.0
2025-01-05,8,97.88,4166,432,3734,-97.0,97.0
2025-01-05,9,99.52,3842,862,2980,-754.0,754.0
2025-01-05,10,95.51,3217,1262,1955,-1025.0,1025.0
2025-01-05,11,100.27,2764,1554,1210,-745.0,745.0
2025-01-05,12,96.72,2494,1708,786,-424.0,424.0
2025-01-05,13,104.49,2366,1804,562,-224.0,224.0
2025-01-05,14,115.39,2459,1699,760,198.0,198.0
2025-01-05,15,141.72,3248,1353,1895,1135.0,1135.0
2025-01-05,16,216.4,4409,858,3551,1656.0,1656.0
2025-01-05,17,185.18,5328,660,4668,1117.0,1117.0
2025-01-05,18,165.0,5806,723,5083,415.0,415.0
2025-01-05,19,166.0,5898,735,5163,80.0,80.0
2025-01-05,20,159.98,5891,816,5075,-88.0,88.0
2025-01-05,21,149.18,5675,895,4780,-295.0,295.0
2025-01-05,22,123.05,5278,890,4388,-392.0,392.0
2025-01-05,23,116.79,4924,869,4055,-333.0,333.0
2025-01-06,0,107.63,4447,883,3564,,
2025-01-06,1,118.91,4085,932,3153,-411.0,411.0
2025-01-06,2,101.0,3934,983,2951,-202.0,202.0
2025-01-06,3,99.81,3779,1135,2644,-307.0,307.0
2025-01-06,4,99.85,3693,1190,2503,-141.0,141.0
2025-01-06,5,103.01,3732,1152,2580,77.0,77.0
2025-01-06,6,129.58,3907,1132,2775,195.0,195.0
2025-01-06,7,133.52,4124,1114,3010,235.0,235.0
2025-01-06,8,130.72,4084,1220,2864,-146.0,146.0
2025-01-06,9,113.27,3527,1625,1902,-962.0,962.0
2025-01-06,10,94.88,2908,1931,977,-925.0,925.0
2025-01-06,11,74.64,2590,2128,462,-515.0,515.0
2025-01-06,12,80.05,2482,2277,205,-257.0,257.0
2025-01-06,13,101.12,2367,2336,31,-174.0,174.0
2025-01-06,14,116.55,2394,2232,162,131.0,131.0
2025-01-06,15,138.34,3112,1806,1306,1144.0,1144.0
2025-01-06,16,148.33,4314,1258,3056,1750.0,1750.0
2025-01-06,17,154.37,5163,977,4186,1130.0,1130.0
2025-01-06,18,155.32,5668,1053,4615,429.0,429.0
2025-01-06,19,153.3,5772,1022,4750,135.0,135.0
2025-01-06,20,147.36,5749,1081,4668,-82.0,82.0
2025-01-06,21,122.76,5537,1130,4407,-261.0,261.0
2025-01-06,22,116.9,5162,1149,4013,-394.0,394.0
2025-01-06,23,87.08,4773,1137,3636,-377.0,377.0
2025-01-07,0,97.0,4321,1212,3109,,
2025-01-07,1,99.45,3942,1277,2665,-444.0,444.0
2025-01-07,2,97.0,3820,1328,2492,-173.0,173.0
2025-01-07,3,89.37,3687,1363,2324,-168.0,168.0
2025-01-07,4,94.62,3640,1304,2336,12.0,12.0
2025-01-07,5,98.14,3815,1244,2571,235.0,235.0
2025-01-07,6,133.42,4283,1246,3037,466.0,466.0
2025-01-07,7,165.11,4943,1226,3717,680.0,680.0
2025-01-07,8,152.33,5460,1290,4170,453.0,453.0
2025-01-07,9,132.99,5645,1657,3988,-182.0,182.0
2025-01-07,10,122.49,5432,2105,3327,-661.0,661.0
2025-01-07,11,122.41,5251,2506,2745,-582.0,582.0
2025-01-07,12,123.72,5123,2483,2640,-105.0,105.0
2025-01-07,13,133.16,5247,2467,2780,140.0,140.0
2025-01-07,14,140.51,5251,2425,2826,46.0,46.0
2025-01-07,15,148.49,5718,2187,3531,705.0,705.0
2025-01-07,16,161.46,6054,1949,4105,574.0,574.0
2025-01-07,17,170.0,6391,1858,4533,428.0,428.0
2025-01-07,18,162.14,6684,1790,4894,361.0,361.0
